id,fromUserId,toUserId,senderId,receiverId,status,createdAt,timestamp,updatedAt,conversationId,relationshipRefPath
RAk5gXi6yyeqP6v1LVpN,g7T9f45nZ9h7UFgHiKDhI0ei5ai1,NbuGeLBFOVdArVeysp8f5crBSr73,,,,2026-04-22T06:59:28.154Z,,2026-05-06T11:02:28.350Z,NbuGeLBFOVdArVeysp8f5crBSr73_g7T9f45nZ9h7UFgHiKDhI0ei5ai1,player_relationships/NbuGeLBFOVdArVeysp8f5crBSr73_g7T9f45nZ9h7UFgHiKDhI0ei5ai1
V4KhvlTDQr2rJNZu3pa9,5xIDexVRYiaSFTLkzdlYY7IzelA2,pyCTP9X0ixVkKScSs6TO3JXZuu03,,,,2026-04-21T11:48:59.294Z,,2026-04-26T10:57:41.438Z,5xIDexVRYiaSFTLkzdlYY7IzelA2_pyCTP9X0ixVkKScSs6TO3JXZuu03,player_relationships/5xIDexVRYiaSFTLkzdlYY7IzelA2_pyCTP9X0ixVkKScSs6TO3JXZuu03
ofdhsOMWyKi9z01NDMgu,5xIDexVRYiaSFTLkzdlYY7IzelA2,nveUvJdmjhNEsuhGnRjCbr1RGwV2,,,,2026-04-20T11:10:02.050Z,,2026-05-01T03:26:05.754Z,5xIDexVRYiaSFTLkzdlYY7IzelA2_nveUvJdmjhNEsuhGnRjCbr1RGwV2,player_relationships/5xIDexVRYiaSFTLkzdlYY7IzelA2_nveUvJdmjhNEsuhGnRjCbr1RGwV2
G0R75pHc3vQVoleml5VI,5xIDexVRYiaSFTLkzdlYY7IzelA2,4Vq1RMC484QEjvPM07GOPYC2w3h1,,,,2026-04-19T05:01:16.086Z,,2026-04-19T05:01:16.086Z,4Vq1RMC484QEjvPM07GOPYC2w3h1_5xIDexVRYiaSFTLkzdlYY7IzelA2,player_relationships/4Vq1RMC484QEjvPM07GOPYC2w3h1_5xIDexVRYiaSFTLkzdlYY7IzelA2
DEq72WwNy2PzRZM2A4lX,5xIDexVRYiaSFTLkzdlYY7IzelA2,Cua70mYgfsQezBwLxSELFHTJhjR2,,,,2026-04-19T03:43:04.663Z,,2026-04-19T03:43:04.663Z,5xIDexVRYiaSFTLkzdlYY7IzelA2_Cua70mYgfsQezBwLxSELFHTJhjR2,player_relationships/5xIDexVRYiaSFTLkzdlYY7IzelA2_Cua70mYgfsQezBwLxSELFHTJhjR2
EFZ3xhVwKbjpD0uSIdfd,5xIDexVRYiaSFTLkzdlYY7IzelA2,NbTzmi9rfbM7sfuWH8dP1ZcYURm2,,,,2026-04-19T03:41:31.814Z,,2026-04-27T01:18:29.961Z,5xIDexVRYiaSFTLkzdlYY7IzelA2_NbTzmi9rfbM7sfuWH8dP1ZcYURm2,player_relationships/5xIDexVRYiaSFTLkzdlYY7IzelA2_NbTzmi9rfbM7sfuWH8dP1ZcYURm2
8JNuOCyFyqDWVtmiJTys,5xIDexVRYiaSFTLkzdlYY7IzelA2,9qD3pLEJtXSsAgN0LnCWLtAIUJ93,,,,2026-04-16T00:55:37.612Z,,2026-04-16T00:55:37.612Z,5xIDexVRYiaSFTLkzdlYY7IzelA2_9qD3pLEJtXSsAgN0LnCWLtAIUJ93,player_relationships/5xIDexVRYiaSFTLkzdlYY7IzelA2_9qD3pLEJtXSsAgN0LnCWLtAIUJ93
7smmY0rk6G6ItjJcG15H,5xIDexVRYiaSFTLkzdlYY7IzelA2,NbTzmi9rfbM7sfuWH8dP1ZcYURm2,,,,2026-04-15T00:33:42.473Z,,2026-04-15T01:45:22.563Z,5xIDexVRYiaSFTLkzdlYY7IzelA2_NbTzmi9rfbM7sfuWH8dP1ZcYURm2,player_relationships/5xIDexVRYiaSFTLkzdlYY7IzelA2_NbTzmi9rfbM7sfuWH8dP1ZcYURm2
muiwt0NAQOlOazlFmNfx,NbuGeLBFOVdArVeysp8f5crBSr73,ZY1UfBw3vSQt8IQvnoUtdxzZR303,,,,2026-04-15T00:24:14.924Z,,2026-04-15T00:24:14.924Z,NbuGeLBFOVdArVeysp8f5crBSr73_ZY1UfBw3vSQt8IQvnoUtdxzZR303,player_relationships/NbuGeLBFOVdArVeysp8f5crBSr73_ZY1UfBw3vSQt8IQvnoUtdxzZR303
bA8LBHXnm313zEa6xfdZ,NbuGeLBFOVdArVeysp8f5crBSr73,ZY1UfBw3vSQt8IQvnoUtdxzZR303,,,,2026-04-15T00:24:14.912Z,,2026-04-15T00:24:14.912Z,NbuGeLBFOVdArVeysp8f5crBSr73_ZY1UfBw3vSQt8IQvnoUtdxzZR303,player_relationships/NbuGeLBFOVdArVeysp8f5crBSr73_ZY1UfBw3vSQt8IQvnoUtdxzZR303
WEaHYHhqXR5mwieUmBiJ,NbuGeLBFOVdArVeysp8f5crBSr73,ZY1UfBw3vSQt8IQvnoUtdxzZR303,,,,2026-04-15T00:24:14.899Z,,2026-04-15T00:24:14.899Z,NbuGeLBFOVdArVeysp8f5crBSr73_ZY1UfBw3vSQt8IQvnoUtdxzZR303,player_relationships/NbuGeLBFOVdArVeysp8f5crBSr73_ZY1UfBw3vSQt8IQvnoUtdxzZR303
hS4cpcTYGgiCckfPb2ar,NbuGeLBFOVdArVeysp8f5crBSr73,ZY1UfBw3vSQt8IQvnoUtdxzZR303,,,,2026-04-15T00:24:14.105Z,,2026-04-15T00:24:14.105Z,NbuGeLBFOVdArVeysp8f5crBSr73_ZY1UfBw3vSQt8IQvnoUtdxzZR303,player_relationships/NbuGeLBFOVdArVeysp8f5crBSr73_ZY1UfBw3vSQt8IQvnoUtdxzZR303
