address,name,lat,lng,postcode,suburb,url
"Wills Cres, Moolap VIC 3221",Moolap Tennis Club,-38.16787419,144.4214792,3221,Moolap,https://play.tennis.com.au/moolaptennisclub/BookACourt
"45 Wingarra Dr, Grovedale VIC 3216",Grovedale Tennis Club,-38.20926165,144.3266201,3216,Grovedale,https://play.tennis.com.au/GrovedaleTennisClub/Booking/
"8-40 Grant St, Sebastopol VIC 3356",Tennis Ballarat,-37.58695729,143.8299361,3356,Sebastopol,https://www.tennisballarat.com.au/
"Prince Of Wales Park, Gillies St N, Wendouree VIC 3355",Ballarat Lawn Tennis Club,-37.5476871,143.8181568,3355,Wendouree,https://play.tennis.com.au/ballaratlawntennisclub/Booking/
"497 Dowling St, Wendouree VIC 3355",Ballarat Regional Tennis Centre,-37.52540892,143.8409448,3355,Wendouree,https://play.tennis.com.au/ballaratregionaltenniscentre/booking/
"Corner Cornish &, Ligar St, Sunbury VIC 3429",Sunbury Lawn Tennis Club,-37.57039329,144.7236496,3429,Sunbury,https://play.tennis.com.au/sunburylawntennisclub/Booking/
"176 Millett Rd, Gisborne South VIC 3437",South Gisborne Tennis Club,-37.55063815,144.6384084,3437,Gisborne South,https://play.tennis.com.au/southgisbornetennisclub/Booking/
"50 Robertson St, Gisborne VIC 3437",Gisborne Tennis Club,-37.47768489,144.5823353,3437,Gisborne,https://play.tennis.com.au/gisbornetennisclub/Booking/
"Alexander Ave, Upwey VIC 3158",Upwey-Tecoma Tennis Club,-37.90029417,145.3394064,3158,Upwey,https://play.tennis.com.au/upweytecomatennisclub/Booking/
"2A Glenfern Rd, Ferntree Gully VIC 3156",Ferntree Gully Tennis Club,-37.88810224,145.2868781,3156,Ferntree Gully,https://play.tennis.com.au/ferntreegullytennisclub/Booking/
"54 Marine Parade, Hastings VIC 3915",Hastings Tennis Club,-38.29879896,145.1918501,3915,Hastings,https://play.tennis.com.au/HastingsTennisClub/Booking/
"Park Ln, Somerville VIC 3912",Somerville Tennis Club,-38.23031455,145.1737257,3912,Somerville,https://play.tennis.com.au/somervilletennisclub/Booking/
"74 Pearson St, Bairnsdale VIC 3875",Bairnsdale Tennis Club,-37.82302044,147.6181239,3875,Bairnsdale,https://play.tennis.com.au/bairnsdaletennisclub/Booking/
